TIB L1	3.86507303428	0.0278610056776
TIB L2	4.15450638315	0.0315625584131
TIB L3	3.65890432703	0.0341949571607
TIB L4	3.88767721971	0.0419455036123
TOB L1	3.80340743386	0.0365530242133
TOB L2	3.51600817805	0.0365436842342
TOB L3	3.12686050496	0.0443866500168
TOB L4	2.70144615124	0.0467126471255
TOB L5	0.829765740646	0.0807755142749
TID R1	3.05530228821	0.0400069431711
TID R2	4.88670662028	0.031910240902
TID R3	4.93419534782	0.0351412841809
TEC R1	3.80570028939	0.0327771811179
TEC R2	2.72556545601	0.0369679291338
TEC R3	3.71343952343	0.0507147023728
TEC R4	4.82337021913	0.0341433019292
TEC R5	2.69400589761	0.0383577600956
TEC R6	3.12041830374	0.0370381149425
